Player_match_SK,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Season_year,is_manofThematch,Age_As_on_match,IsPlayers_Team_won,Batting_Status,Bowling_Status,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
12711,335987,63,LR Shukla,1981-05-06,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,27,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12712,335987,82,AB Agarkar,1977-12-04,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,31,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12713,335987,83,M Kartik,1976-09-11,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,32,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12714,335987,84,I Sharma,1988-09-02,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,20,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12715,335987,106,AB Dinda,1984-03-25,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,24,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12716,335988,24,K Goel,1986-12-24,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,22,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12717,335988,25,JR Hopes,1978-10-24,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,0,30,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12718,335988,26,KC Sangakkara,1977-10-27,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Chennai Super Kings,2008,0,31,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12719,335988,27,Yuvraj Singh,1981-12-12,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Chennai Super Kings,2008,0,27,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12720,335988,28,SM Katich,1975-08-21,Left-hand bat,Slow left-arm chinaman,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,0,33,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12721,335988,29,IK Pathan,1984-10-27,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,24,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12722,335988,66,B Lee,1976-11-08,Right-hand bat,Right-arm fast,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,0,32,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12723,335988,67,PP Chawla,1988-12-24,Left-hand bat,Legbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,20,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12724,335988,68,WA Mota,1981-09-20,Right-hand bat,Right-arm medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,27,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12725,335988,77,S Sreesanth,1983-02-06,Right-hand bat,Right-arm fast-medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,25,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12726,335988,466,P Dharmani,1974-09-27,Right-hand bat,NULL,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,34,0,,,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12727,335988,17,PA Patel,1985-03-09,Left-hand bat,NULL,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,23,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12728,335988,18,ML Hayden,1971-10-29,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,0,37,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12729,335988,19,MEK Hussey,1975-05-27,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,1,33,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12730,335988,20,MS Dhoni,1981-07-07,Right-hand bat,Right-arm medium,India,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,2008,0,27,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12731,335988,21,SK Raina,1986-11-27,Left-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,22,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12732,335988,22,JDP Oram,1978-07-28,Left-hand bat,Right-arm fast-medium,New Zealand,Player,Chennai Super Kings,Kings XI Punjab,2008,0,30,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12733,335988,23,S Badrinath,1980-08-30,Right-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,28,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12734,335988,119,Joginder Sharma,1983-10-23,Right-hand bat,Right-arm fast-medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,25,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12735,335988,120,MS Gony,1984-01-04,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,24,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12736,335988,121,M Muralitharan,1972-04-17,Right-hand bat,Right-arm offbreak,Sri Lanka,Player,Chennai Super Kings,Kings XI Punjab,2008,0,36,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12737,335988,435,P Amarnath,1982-06-01,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,26,1,,,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12738,335989,40,G Gambhir,1981-10-14,Left-hand bat,Legbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,27,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12739,335989,41,V Sehwag,1978-10-20,Right-hand bat,Right-arm offbreak,India,Captain,Delhi Daredevils,Rajasthan Royals,2008,0,30,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12740,335989,42,S Dhawan,1985-12-05,Left-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12741,335989,87,MK Tiwary,1985-11-14,Right-hand bat,Legbreak googly,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12742,335989,88,KD Karthik,1985-06-01,Right-hand bat,NULL,India,Keeper,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12743,335989,89,R Bhatia,1979-10-22,Right-hand bat,Right-arm medium-fast,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12744,335989,90,MF Maharoof,1984-09-07,Right-hand bat,Right-arm fast-medium,India,Player,Delhi Daredevils,Rajasthan Royals,2008,1,24,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12745,335989,118,GD McGrath,1970-02-09,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,0,38,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12746,335989,171,M Manhas,1979-10-12,Right-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12747,335989,175,DL Vettori,1979-01-27,Left-hand bat,Slow left-arm orthodox,New Zealand,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12748,335989,436,B Geeves,1982-06-13,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,0,26,1,,,V Sehwag,SK Warne,KD Karthik,M Rawat
12749,335989,30,T Kohli,1988-12-17,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,20,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12750,335989,31,YK Pathan,1982-11-17,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12751,335989,32,SR Watson,1981-06-17,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,0,27,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12752,335989,33,M Kaif,1980-12-01,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,28,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12753,335989,34,DS Lehmann,1970-02-05,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,0,38,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12754,335989,35,RA Jadeja,1988-12-06,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,20,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12755,335989,36,M Rawat,1985-10-25,Right-hand bat,NULL,India,Keeper,Rajasthan Royals,Delhi Daredevils,2008,0,23,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12756,335989,37,D Salunkhe,1982-11-12,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12757,335989,38,SK Warne,1969-09-13,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Delhi Daredevils,2008,0,39,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12758,335989,39,SK Trivedi,1982-09-04,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12759,335989,126,MM Patel,1983-07-12,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,25,0,,,SK Warne,V Sehwag,M Rawat,KD Karthik
12760,335990,43,L Ronchi,1981-04-23,Right-hand bat,NULL,Australia,Keeper,Mumbai Indians,Royal Challengers Bangalore,2008,0,27,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12761,335990,44,ST Jayasuriya,1969-06-30,Left-hand bat,Slow left-arm orthodox,Sri Lanka,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,39,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12762,335990,45,DJ Thornely,1978-10-01,Right-hand bat,Right-arm medium,Australia,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,30,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12763,335990,46,RV Uthappa,1985-11-11,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,23,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12764,335990,47,PR Shah,1987-11-03,Right-hand bat,NULL,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,21,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12765,335990,48,AM Nayar,1983-10-08,Left-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,25,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12766,335990,49,SM Pollock,1973-07-16,Right-hand bat,Right-arm fast-medium,South Africa,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,35,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12767,335990,50,Harbhajan Singh,1980-07-03,Right-hand bat,Right-arm offbreak,India,Captain,Mumbai Indians,Royal Challengers Bangalore,2008,0,28,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12768,335990,72,MA Khote,1980-04-22,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,28,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12769,335990,73,A Nehra,1979-04-29,Right-hand bat,Left-arm medium-fast,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,29,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12770,335990,80,DS Kulkarni,1988-12-10,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,20,0,,,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12771,335990,6,R Dravid,1973-01-11,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Mumbai Indians,2008,0,35,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12772,335990,8,V Kohli,1988-11-05,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,20,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12773,335990,9,JH Kallis,1975-10-16,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,33,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12774,335990,11,MV Boucher,1976-12-03,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Mumbai Indians,2008,1,32,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12775,335990,12,B Akhil,1977-10-07,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,31,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12776,335990,14,P Kumar,1986-10-02,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,22,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12777,335990,15,Z Khan,1978-10-07,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,30,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12778,335990,16,SB Joshi,1970-06-06,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,38,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12779,335990,51,S Chanderpaul,1974-08-16,Left-hand bat,Legbreak,West Indies,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,34,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12780,335990,52,LRPL Taylor,1984-03-08,Right-hand bat,Right-arm offbreak,New Zealand,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,24,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12781,335990,81,R Vinay Kumar,1984-02-12,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,24,1,,,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12782,335991,53,AC Gilchrist,1971-11-14,Left-hand bat,Right-arm offbreak,Australia,Keeper,Deccan Chargers,Kolkata Knight Riders,2008,0,37,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12783,335991,54,Y Venugopal Rao,1982-02-26,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,26,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12784,335991,55,VVS Laxman,1974-11-01,Right-hand bat,Right-arm offbreak,India,Captain,Deccan Chargers,Kolkata Knight Riders,2008,0,34,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12785,335991,56,A Symonds,1975-06-09,Right-hand bat,Right-arm offbreak,Australia,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,33,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12786,335991,57,RG Sharma,1987-04-30,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,21,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12787,335991,58,SB Styris,1975-07-10,Right-hand bat,Right-arm medium,New Zealand,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,33,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12788,335991,59,SB Bangar,1972-10-11,Right-hand bat,Right-arm medium-fast,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,36,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12789,335991,60,WPUJC Vaas,1974-01-27,Left-hand bat,Left-arm fast-medium,Sri Lanka,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,34,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12790,335991,61,RP Singh,1985-12-06,Right-hand bat,Left-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,23,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12791,335991,131,PP Ojha,1986-09-05,Left-hand bat,Slow left-arm orthodox,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,22,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12792,335991,232,UT Yadav,1987-10-25,Right-hand bat,Right-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,21,0,,,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12793,335991,1,SC Ganguly,1972-07-08,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Deccan Chargers,2008,0,36,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12794,335991,2,BB McCullum,1981-09-27,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,27,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12795,335991,3,RT Ponting,1974-12-19,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,34,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12796,335991,4,DJ Hussey,1977-07-15,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,1,31,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12797,335991,5,Mohammad Hafeez,1980-10-17,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,28,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12798,335991,62,WP Saha,1984-10-24,Right-hand bat,NULL,India,Keeper,Kolkata Knight Riders,Deccan Chargers,2008,0,24,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12799,335991,63,LR Shukla,1981-05-06,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,27,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12800,335991,82,AB Agarkar,1977-12-04,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,31,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12801,335991,83,M Kartik,1976-09-11,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,32,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12802,335991,84,I Sharma,1988-09-02,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,20,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12803,335991,106,AB Dinda,1984-03-25,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,24,1,,,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12804,335992,31,YK Pathan,1982-11-17,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12805,335992,32,SR Watson,1981-06-17,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,1,27,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12806,335992,33,M Kaif,1980-12-01,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,28,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12807,335992,34,DS Lehmann,1970-02-05,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,0,38,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12808,335992,35,RA Jadeja,1988-12-06,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,20,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12809,335992,37,D Salunkhe,1982-11-12,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12810,335992,38,SK Warne,1969-09-13,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Kings XI Punjab,2008,0,39,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12811,335992,39,SK Trivedi,1982-09-04,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12812,335992,69,Kamran Akmal,1982-01-13,Right-hand bat,NULL,Pakistan,Keeper,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12813,335992,75,Pankaj Singh,1985-05-06,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,23,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12814,335992,126,MM Patel,1983-07-12,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,25,1,,,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12815,335992,24,K Goel,1986-12-24,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,0,22,0,,,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12816,335992,25,JR Hopes,1978-10-24,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Rajasthan Royals,2008,0,30,0,,,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12817,335992,26,KC Sangakkara,1977-10-27,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Rajasthan Royals,2008,0,31,0,,,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12818,335992,27,Yuvraj Singh,1981-12-12,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Rajasthan Royals,2008,0,27,0,,,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12819,335992,29,IK Pathan,1984-10-27,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Rajasthan Royals,2008,0,24,0,,,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
